Cluster,Count,Proportion (%)
0,3191,17.727777777777778
1,770,4.277777777777778
2,2039,11.327777777777778
3,2870,15.944444444444445
4,1020,5.666666666666666
5,2110,11.722222222222223
6,1272,7.066666666666667
7,4728,26.266666666666666
